	input	filtered	denoised	merged	non-chimeric
F3D0_R1.fastq.gz	7793	6302	6302	5636	5627
F3D1_R1.fastq.gz	5869	4616	4616	4314	4304
F3D141_R1.fastq.gz	5958	4897	4897	4221	4087
F3D142_R1.fastq.gz	3183	2631	2631	2157	2113
F3D143_R1.fastq.gz	3178	2624	2624	2193	2172
F3D144_R1.fastq.gz	4827	3751	3751	3036	2882
F3D145_R1.fastq.gz	7377	5956	5956	4975	4719
F3D146_R1.fastq.gz	5021	3994	3994	3420	3326
F3D147_R1.fastq.gz	17070	14007	14007	11461	10469
F3D148_R1.fastq.gz	12405	10207	10207	8663	8115
F3D149_R1.fastq.gz	13083	10636	10636	9126	8729
F3D150_R1.fastq.gz	5509	4543	4543	3764	3671
F3D2_R1.fastq.gz	19620	16429	16429	15303	14827
F3D3_R1.fastq.gz	6758	5632	5632	4942	4660
F3D5_R1.fastq.gz	4448	3585	3585	3056	3053
F3D6_R1.fastq.gz	7989	6665	6665	6057	5910
F3D7_R1.fastq.gz	5129	4347	4347	3844	3693
F3D8_R1.fastq.gz	5294	4345	4345	3982	3976
F3D9_R1.fastq.gz	7070	5891	5891	5434	5365
Mock_R1.fastq.gz	4779	3740	3740	3711	3711
