Kingdom Phylum Class Order Family Genus
1 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
2 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
3 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
4 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
5 Bacteria Bacteroidota Bacteroidia Bacteroidales Bacteroidaceae Bacteroides
6 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
7 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
8 Bacteria Bacteroidota Bacteroidia Bacteroidales Rikenellaceae Alistipes
9 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
10 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
11 Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
12 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
13 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
14 Bacteria Firmicutes Bacilli Erysipelotrichales Erysipelotrichaceae Turicibacter
15 Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA
16 Bacteria Firmicutes Bacilli RF39 NA NA
17 Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
18 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
19 Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
20 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
21 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
22 Bacteria Firmicutes Clostridia Peptococcales Peptococcaceae NA
23 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Oscillibacter
24 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Oscillibacter
25 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Eisenbergiella
26 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
27 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
28 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
29 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
30 Bacteria Firmicutes Bacilli Staphylococcales Staphylococcaceae Staphylococcus
31 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
32 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA
33 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnospiraceae_NK4A136_group
