Kingdom Phylum Class Order Family Genus
1 Bacteria NA NA NA NA NA
2 NA NA NA NA NA NA
3 Bacteria Bacteroidota Bacteroidia Bacteroidales unclassified_Bacteroidales NA
4 NA NA NA NA NA NA
5 Bacteria Bacteroidota Bacteroidia Bacteroidales Bacteroidaceae Bacteroides
6 NA NA NA NA NA NA
7 Bacteria NA NA NA NA NA
8 Bacteria NA NA NA NA NA
9 Bacteria Bacteroidota Bacteroidia Bacteroidales NA NA
10 NA NA NA NA NA NA
11 Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
12 Bacteria NA NA NA NA NA
13 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae NK4A136 group"
14 Bacteria Firmicutes Bacilli Erysipelotrichales Erysipelotrichaceae Turicibacter
15 Bacteria unclassified_Bacteria NA NA NA NA
16 NA NA NA NA NA NA
17 Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
18 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
19 Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
20 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae NK4A136 group"
21 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
22 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "[Eubacterium] oxidoreducens group"
23 Bacteria Firmicutes NA NA NA NA
24 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Oscillibacter
25 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
26 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae "Lachnospiraceae NK4A136 group"
27 Bacteria Firmicutes NA NA NA NA
28 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
29 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae unclassified_Lachnospiraceae
30 Bacteria Firmicutes Bacilli Staphylococcales Staphylococcaceae Staphylococcus
